Neutrino Energy (GeV),Propagation Distance (km),Mixing Angle Theta,sin²(2θ),Mass-Squared Difference (eV^2),Shots Used,Number of Trials,Simulation Time Points,Analytical Time Points,Using Real QPU,Analytical Time Points,Analytical Electron,Analytical Muon,Analytical Electron Sim Time-Matched,Analytical Muon Sim Time-Matched,Time Points in Simulation,Simulation Electron Median,Electron Lower Error,Electron Upper Error,Simulation Muon Median,Muon Lower Error,Muon Upper Error,Trial 1: Electron Probabilities,Trial 1: Muon Probabilities,Trial 2: Electron Probabilities,Trial 2: Muon Probabilities,Trial 3: Electron Probabilities,Trial 3: Muon Probabilities,Trial 4: Electron Probabilities,Trial 4: Muon Probabilities,Trial 5: Electron Probabilities,Trial 5: Muon Probabilities,Trial 6: Electron Probabilities,Trial 6: Muon Probabilities,Trial 7: Electron Probabilities,Trial 7: Muon Probabilities,Trial 8: Electron Probabilities,Trial 8: Muon Probabilities,Trial 9: Electron Probabilities,Trial 9: Muon Probabilities,Trial 10: Electron Probabilities,Trial 10: Muon Probabilities
1.0,1000.0,0.55,0.7943,0.003,1000.0,10.0,10.0,1000.0,True,0.0,1.0,0.0,1.0,0.0,0.0,0.962,0.004750000000000032,0.0007500000000000284,0.038,0.0007500000000000007,0.004749999999999997,0.941,0.059,0.963,0.037,0.966,0.034,0.962,0.038,0.962,0.038,0.956,0.044,0.957,0.043,0.962,0.038,0.958,0.042,0.981,0.019
,,,,,,,,,,1.001001001001001,0.9999884468228715,1.1553177128559197e-05,0.8659554184112985,0.13404458158870142,111.11111111111111,0.8445,0.010250000000000092,0.005249999999999977,0.1555,0.005250000000000005,0.010250000000000009,0.86,0.14,0.849,0.151,0.85,0.15,0.857,0.143,0.846,0.154,0.843,0.157,0.823,0.177,0.834,0.166,0.835,0.165,0.834,0.166
,,,,,,,,,,2.002002002002002,0.9999537879636545,4.621203634552591e-05,0.5543061246248747,0.4456938753751253,222.22222222222223,0.5415000000000001,0.004250000000000087,0.011249999999999982,0.4585,0.011249999999999982,0.004249999999999976,0.552,0.448,0.537,0.463,0.514,0.486,0.555,0.445,0.553,0.447,0.538,0.462,0.543,0.457,0.54,0.46,0.534,0.466,0.586,0.414
,,,,,,,,,,3.0030030030030033,0.9998960254388162,0.00010397456118387453,0.27542552510184115,0.7245744748981588,333.33333333333337,0.2845,0.00649999999999995,0.005500000000000005,0.7155,0.00550000000000006,0.00649999999999995,0.281,0.719,0.265,0.735,0.283,0.717,0.286,0.714,0.272,0.728,0.303,0.697,0.313,0.687,0.277,0.723,0.29,0.71,0.29,0.71
,,,,,,,,,,4.004004004004004,0.9998151626090044,0.0001848373909955837,0.21756709221420467,0.7824329077857953,444.44444444444446,0.23149999999999998,0.009999999999999981,0.01125000000000001,0.7685,0.011249999999999982,0.010000000000000009,0.223,0.777,0.221,0.779,0.267,0.733,0.242,0.758,0.237,0.763,0.211,0.789,0.243,0.757,0.226,0.774,0.251,0.749,0.197,0.803
,,,,,,,,,,5.005005005005005,0.9997112041788528,0.00028879582114716,0.4197871494055064,0.5802128505944937,555.5555555555555,0.424,0.013749999999999984,0.008250000000000035,0.576,0.00824999999999998,0.01375000000000004,0.407,0.593,0.443,0.557,0.422,0.578,0.427,0.573,0.434,0.566,0.443,0.557,0.408,0.592,0.426,0.574,0.417,0.583,0.404,0.596
,,,,,,,,,,6.0060060060060065,0.9995841561967066,0.000415843803293356,0.7455805829653034,0.2544194170346966,666.6666666666667,0.7255,0.017750000000000044,0.010249999999999981,0.2745,0.010250000000000037,0.017749999999999988,0.699,0.301,0.723,0.277,0.704,0.296,0.719,0.281,0.744,0.256,0.732,0.268,0.737,0.263,0.728,0.272,0.702,0.298,0.748,0.252
,,,,,,,,,,7.007007007007008,0.9994340260542709,0.0005659739457290647,0.975026232194265,0.024973767805735035,777.7777777777778,0.9339999999999999,0.013499999999999845,0.008000000000000007,0.066,0.008,0.013499999999999998,0.944,0.056,0.928,0.072,0.915,0.085,0.942,0.058,0.918,0.082,0.925,0.075,0.946,0.054,0.919,0.081,0.942,0.058,0.94,0.06
,,,,,,,,,,8.008008008008009,0.9992608224861806,0.0007391775138193734,0.9532408235270183,0.046759176472981716,888.8888888888889,0.919,0.007750000000000035,0.006000000000000005,0.081,0.006000000000000005,0.007749999999999993,0.925,0.075,0.925,0.075,0.907,0.093,0.922,0.078,0.909,0.091,0.931,0.069,0.916,0.084,0.91,0.09,0.915,0.085,0.933,0.067
,,,,,,,,,,9.00900900900901,0.9990645555694923,0.0009354444305077465,0.6949302161580232,0.3050697838419768,1000.0,0.6805000000000001,0.0050000000000001155,0.006999999999999895,0.3195,0.007000000000000006,0.0050000000000000044,0.686,0.314,0.658,0.342,0.674,0.326,0.684,0.316,0.677,0.323,0.688,0.312,0.677,0.323,0.692,0.308,0.714,0.286,0.675,0.325
,,,,,,,,,,10.01001001001001,0.9988452367230977,0.0011547632769023143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,11.011011011011012,0.9986028787070598,0.00139712129294023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,12.012012012012013,0.9983374956218699,0.0016625043781300524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,13.013013013013014,0.9980491029076278,0.0019508970923721206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,14.014014014014016,0.9977377173431431,0.0022622826568568653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,15.015015015015017,0.997403357044959,0.0025966429550410073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,16.016016016016017,0.9970460414662984,0.0029539585337015842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,17.017017017017018,0.9966657913959323,0.0033342086040677463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,18.01801801801802,0.9962626289569697,0.0037373710430302653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,19.01901901901902,0.9958365776055713,0.0041634223944286486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,20.02002002002002,0.9953876621295842,0.004612337870415844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,21.021021021021024,0.9949159086470996,0.005084091352900403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,22.022022022022025,0.9944213446049339,0.005578655395066035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,23.023023023023026,0.9939039987770315,0.0060960012229684885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,24.024024024024026,0.9933639012627904,0.0066360987372096145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,25.025025025025027,0.9928010834853114,0.007198916514688578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,26.026026026026027,0.99221557818957,0.0077844218104300604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,27.027027027027028,0.9916074194405107,0.008392580559489372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,28.028028028028032,0.9909766426210657,0.009023357378934373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,29.029029029029033,0.990323284430096,0.009676715569904057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,30.030030030030034,0.9896473828802563,0.010352617119743715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,31.031031031031034,0.9889489772957835,0.01105102270421653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,32.032032032032035,0.9882281083102086,0.011771891689791463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,33.033033033033036,0.9874848178639927,0.012515182136007351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,34.034034034034036,0.986719149202087,0.013280850797912993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,35.03503503503504,0.9859311468714168,0.014068853128583194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,36.03603603603604,0.9851208567182895,0.014879143281710486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,37.03703703703704,0.9842883258857275,0.0157116741142725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,38.03803803803804,0.9834336028107252,0.01656639718927481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,39.03903903903904,0.9825567372214311,0.017443262778568936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,40.04004004004004,0.9816577801342544,0.0183422198657456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,41.04104104104105,0.9807367838508971,0.019263216149102896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,42.04204204204205,0.9797938019553109,0.020206198044689178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,43.04304304304305,0.9788288893105793,0.021171110689420628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,44.04404404404405,0.9778421020557267,0.022157897944273208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,45.04504504504505,0.9768334976024511,0.02316650239754886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,46.04604604604605,0.9758031346317843,0.02419686536821572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,47.04704704704705,0.9747510730906778,0.025248926909322213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,48.04804804804805,0.9736773741885152,0.026322625811484833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,49.04904904904905,0.9725821003935508,0.027417899606449258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,50.050050050050054,0.9714653154292752,0.028534684570724823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,51.051051051051054,0.970327084270708,0.029672915729291996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,52.052052052052055,0.9691674731406174,0.030832526859382595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,53.053053053053056,0.9679865495056673,0.03201345049433271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,54.054054054054056,0.9667843820724921,0.03321561792750794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,55.05505505505506,0.9655610407836993,0.034438959216300725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,56.056056056056065,0.9643165968138003,0.035683403186199676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,57.057057057057065,0.9630511225650694,0.036948877434930555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,58.058058058058066,0.9617646916633313,0.038235308336668605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,59.05905905905907,0.9604573789536778,0.039542621046322196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,60.06006006006007,0.9591292604961127,0.0408707395038873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,61.06106106106107,0.9577804135611272,0.042219586438872754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,62.06206206206207,0.9564109166252042,0.04358908337479583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
